Date,CONSUMO,Y,COINT2,EQ01,EQ02
1962-04-01,1609.9,2571.5,0,0,0
1962-07-01,1622.9,2596.8,0,0,1.1125379902515e-308
1962-10-01,1645.9,2603.3,0,1.44629800878088e-307,0
1963-01-01,1657.1,2634.1,0,1.1125372958658e-308,0
1963-04-01,1673,2668.4,0,1.1129485985255e-308,1.11256027133682e-308
1963-07-01,1695.7,2719.6,0,1.13679346314012e-308,1.14057910363121e-308
1963-10-01,1710,2739.4,0,0,2.33338867388025e-301
1964-01-01,1743.8,2800.5,0,0,7.12881346503468e+191
1964-04-01,1775,2833.8,4.38361869801681e-193,4.38361869801681e-193,4.38361869801681e-193
1964-07-01,1807.8,2872,-1.2882297539195e-231,-1.2882297539195e-231,-1.2882297539195e-231
1964-10-01,1812.8,2879.5,7.29112897291221e-304,7.29112897291221e-304,7.29112897291221e-304
1965-01-01,1852.5,2950.1,1.77293646480989e-77,1.77293646480989e-77,1.77293646480989e-77
1965-04-01,1873.2,2989.9,5.89139311769652e+250,5.89139311769652e+250,5.89139311769652e+250
1965-07-01,1905.3,3050.7,1.14241509003978e-308,1.14241509003978e-308,1.14241509003978e-308
1965-10-01,1959.3,3123.6,2.6818888932465e+154,2.6818888932465e+154,2.6818888932465e+154
1966-01-01,1988.6,3201.1,1.11253692925362e-308,1.11253692925362e-308,1.11253692925362e-308
1966-04-01,1994,3213.2,-4.32378030891256e+188,-4.32378030891256e+188,-4.32378030891256e+188
1966-07-01,2016.6,3233.6,-4.32378030892925e+188,-4.32378030892925e+188,-4.32378030892925e+188
1966-10-01,2025.1,3261.8,1.11253692926836e-308,1.11253692926836e-308,1.11253692926836e-308
1967-01-01,2037.3,3291.8,0,0,0
1967-04-01,2064.6,3289.7,0,0,0
1967-07-01,2075.2,3313.5,1.11253797406195e-308,1.11253797406195e-308,1.11253797406195e-308
1967-10-01,2087.9,3338.3,7.29112206199631e-304,7.29112206199631e-304,7.29112206199631e-304
1968-01-01,2136.2,3406.2,1.78876154139919e+161,1.78876154139919e+161,1.78876154139919e+161
1968-04-01,2169.6,3464.8,1.19978416464162e-308,1.19978416464162e-308,1.19978416464162e-308
1968-07-01,2210.7,3489.2,0,0,0
1968-10-01,2220.4,3504.1,0,0,0
1969-01-01,2244.8,3558.3,1.11253741179912e-308,1.11253741179912e-308,1.11253741179912e-308
1969-04-01,2258.8,3567.6,-8.82676244309717e+112,-8.82676244309717e+112,-8.82676244309717e+112
1969-07-01,2269,3588.3,-8.82753641008506e+112,-8.82753641008506e+112,-8.82753641008506e+112
1969-10-01,2286.5,3571.4,1.11278462626927e-308,1.11278462626927e-308,1.11278462626927e-308
1970-01-01,2300.8,3566.5,0,0,0
1970-04-01,2312,3573.9,0,0,0
1970-07-01,2332.2,3605.2,6.40109247615352e-304,6.40109247615352e-304,6.40109247615352e-304
1970-10-01,2324.9,3566.5,1.22118311375102e-308,1.22118311375102e-308,1.22118311375102e-308
1971-01-01,2369.8,3666.1,589952.000007629,589952.000007629,589952.000007629
1971-04-01,2391.4,3686.2,3.77456513854851e+188,3.77456513854851e+188,3.77456513854851e+188
1971-07-01,2409.8,3714.5,5.44921952405618e-213,5.44921952405618e-213,5.44921952405618e-213
1971-10-01,2449.8,3723.8,2.39066365247117e+125,2.39066365247117e+125,2.39066365247117e+125
1972-01-01,2482.2,3796.9,-2.68192336278812e+154,-2.68192336278812e+154,-2.68192336278812e+154
1972-04-01,2527.5,3883.8,-1.2882297539195e-231,-1.2882297539195e-231,-1.2882297539195e-231
1972-07-01,2565.9,3922.3,7.29112897291221e-304,7.29112897291221e-304,7.29112897291221e-304
1972-10-01,2626.3,3990.5,-4.49960962894352e-193,-4.49960962894352e-193,-4.49960962894352e-193
1973-01-01,2674.2,4092.3,1.11253693445394e-308,1.11253693445394e-308,1.11253693445394e-308
1973-04-01,2671.4,4133.3,0,0,0
1973-07-01,2682.5,4117,0,0,0
1973-10-01,2675.6,4151.1,1.11253699556603e-308,1.11253699556603e-308,1.11253699556603e-308
1974-01-01,2652.4,4119.3,1.11253693339812e-308,1.11253693339812e-308,1.11253693339812e-308
1974-04-01,2662,4130.4,1.18200107487638e-308,1.18200107487638e-308,1.18200107487638e-308
1974-07-01,2672.2,4084.5,1.32113760353744e-308,1.32113760353744e-308,1.32113760353744e-308
1974-10-01,2628.4,4062,1.11253905124939e-308,1.11253905124939e-308,1.11253905124939e-308
1975-01-01,2648.8,4010,1.11253692925732e-308,1.11253692925732e-308,1.11253692925732e-308
1975-04-01,2695.4,4045.2,1.1125369292536e-308,1.1125369292536e-308,1.1125369292536e-308
1975-07-01,2734.7,4115.4,7.29112201955681e-304,7.29112201955681e-304,7.29112201955681e-304
1975-10-01,2764.6,4167.2,1.11253694168717e-308,1.11253694168717e-308,1.11253694168717e-308
1976-01-01,2824.7,4266.1,0,0,0
1976-04-01,2850.9,4301.5,5.71796519475314e-222,5.71796519475314e-222,5.71796519475314e-222
1976-07-01,2880.3,4321.9,5.53290466281807e-222,5.53290466281807e-222,5.53290466281807e-222
1976-10-01,2919.6,4357.4,1.11253692925362e-308,1.11253692925362e-308,1.11253692925362e-308
1977-01-01,2954.7,4410.5,0,0,0
1977-04-01,2970.5,4489.8,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1977-07-01,2999.1,4570.6,0,0,0
1977-10-01,3044,4576.1,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1978-01-01,3060.8,4588.9,0,0,0
1978-04-01,3127,4765.7,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1978-07-01,3143.1,4811.7,0,0,0
1978-10-01,3167.8,4876,5.98900289053863e+38,5.98900289053863e+38,5.98900289053863e+38
1979-01-01,3188.6,4888.3,1.11386220084681e-308,1.11386220084681e-308,1.11386220084681e-308
1979-04-01,3184.3,4891.4,1.11315880224153e-308,1.11315880224153e-308,1.11315880224153e-308
1979-07-01,3213.9,4926.2,0,0,0
1979-10-01,3225.7,4942.6,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1980-01-01,3222.4,4958.9,0,0,0
1980-04-01,3149.2,4857.8,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1980-07-01,3181.2,4850.3,0,0,0
1980-10-01,3219.4,4936.6,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1981-01-01,3233.1,5032.5,0,0,0
1981-04-01,3235.5,4997.3,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1981-07-01,3250.5,5056.8,0,0,0
1981-10-01,3225,4997.1,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1982-01-01,3244.3,4914.3,0,0,0
1982-04-01,3253.4,4935.5,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1982-07-01,3274.6,4912.1,0,0,0
1982-10-01,3329.6,4915.6,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1983-01-01,3360.1,4972.4,0,0,0
1983-04-01,3430.1,5089.8,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1983-07-01,3484.7,5180.4,0,0,0
1983-10-01,3542.2,5286.8,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1984-01-01,3579.7,5402.3,0,0,0
1984-04-01,3628.3,5493.8,1.19978416464159e-308,1.19978416464159e-308,1.19978416464159e-308
1984-07-01,3653.5,5541.3,0,0,0
1984-10-01,3700.9,5583.1,1.97573706535688e+93,1.97573706535688e+93,3.00309293732005e-67
1985-01-01,3756.8,5629.7,9.93868815312247e+73,9.93868815312247e+73,1.32119311186573e-308
1985-04-01,3791.5,5673.8,3.50910653642078e+64,3.50910653642078e+64,1.11255178322414e-308
1985-07-01,3860.9,5758.6,5.07214451299463e+58,5.07214451299463e+58,1.11253692926054e-308
1985-10-01,3874.2,5806,9.9387376888138e+73,1.08100702951436e+103,1.11253692925365e-308
1986-01-01,3907.9,5858.9,2.09505722802702e-110,9.38293642499815e-154,1.11253692925365e-308
1986-04-01,3950.4,5883.3,9.82678225200726e+25,1.97573706535688e+93,1.11253692925365e-308
1986-07-01,4019.7,5937.9,5588224.50300534,2.09570694094655e-110,5.54555994344513e-272
1986-10-01,4046.8,5969.5,8.09812409492784,9.4528020480316e-154,3.10641535461192e+220
1987-01-01,4049.7,6013.3,2.59643938577962e-13,8.25131133708867e-72,7.74860418548893e-304
1987-04-01,4101.5,6077.2,2.63010573290088e-52,3.13466462070038e+121,7.74860418548935e-304
1987-07-01,4147,6128.1,1.39804583930655e-76,9.93873667863015e+73,7.74860418548935e-304
1987-10-01,4155.3,6234.4,9.39453366529138e-154,2.09570694113737e-110,7.74860418548935e-304
1988-01-01,4228,6275.9,2.94890820918979e-62,1.83288893722941e-76,7.74860418548935e-304
1988-04-01,4256.8,6349.8,2274451808948250,1.22845239649462e+83,7.74860418548935e-304
1988-07-01,4291.6,6382.3,3.68534312286275e-110,2274445366493210,7.74860418548935e-304
1988-10-01,4341.4,6465.2,1.2652776642465e+58,3.18636345411134e-110,7.74860418548935e-304
1989-01-01,4357.1,6543.8,1.08100702951436e+103,9.70794665826812e-115,7.74860418548935e-304
1989-04-01,4374.8,6579.4,9.38293073473575e-154,9.40181720393637e-154,7.74860418548935e-304
1989-07-01,4413.4,6610.6,5.07237422087185e+58,3.56501127393413e-38,7.74860418548935e-304
1989-10-01,4429.4,6633.5,2.85689094778595e-110,3416902672060440,7.74860418548935e-304
1990-01-01,4466,6716.3,1.55971551272917e+98,3.72934223501857e-91,7.74860418548935e-304
1990-04-01,4478.8,6731.7,9.65917425034194e+102,1.18317606564073e-114,7.74860418548935e-304
1990-07-01,4495.6,6719.4,1.36036678764791e-153,1.58885733160222e-114,7.74860418548935e-304
1990-10-01,4457.7,6664.2,2.12151926986829e+88,3.25010427568692e+35,7.74860418548935e-304
1991-01-01,4437.5,6631.4,9.89451752025161e+73,1.03654918481178e+74,7.74860418548935e-304
1991-04-01,4469.9,6668.5,3.50910653642078e+64,9.93873667871242e+73,7.74860418548935e-304
1991-07-01,4484.3,6684.9,3416902672061610,3.25010427684655e+35,7.74860418548935e-304
1991-10-01,4474.8,6720.9,9.43844582753399e-154,9.38293073473909e-154,7.74860418548935e-304
1992-01-01,4544.8,6783.3,8.21073352631685e+58,5.40757939787443e-67,7.74860418548935e-304
1992-04-01,4566.7,6846.8,1.08100702951436e+103,3.13466462070038e+121,7.74860418548935e-304
1992-07-01,4600.5,6899.7,9.38293073473575e-154,2.85290901629724e-153,7.74860418548935e-304
1992-10-01,4665.9,6990.6,8.2107383153654e+58,1.68566167971878e+69,7.74860418548935e-304
1993-01-01,4674.9,6988.7,1.01156098992012e-153,9.89456630461845e+73,7.74860418548935e-304
1993-04-01,4721.5,7031.2,3.25012012156027e+35,3.50910653642078e+64,1.11280960987352e-308
1993-07-01,4776.9,7062,9.38293073473909e-154,6.865962300383e-72,1.33883263371495e-308
1993-10-01,4822.3,7168.7,3.31974874279877e-115,6.76961731837553e+73,1.1125369292536e-308
1994-01-01,4866.6,7229.4,2.12151926986829e+88,8.25126878126749e-72,0
1994-04-01,4907.9,7330.2,9.70796154365321e-115,4.49967685420165e-67,-5.28536943770229e-253
1994-07-01,4944.5,7370.2,5588224.6275733,6.76961731837553e+73,1.23863660022866e+243
1994-10-01,4993.6,7461.1,9.39611020739151e-154,5.40755150849146e-67,1.01720413262347e-70
1995-01-01,5011.6,7488.7,3.31975261539068e-115,2.94890822316959e-62,3.68979256902909e+180
1995-04-01,5059.6,7503.3,2.12151926986829e+88,6.76961731837553e+73,3.85628602905859e-270
1995-07-01,5099.2,7561.4,9.70796154365414e-115,3.54389295660496e-62,1.11389500656013e-308
1995-10-01,5132.1,7621.9,3416902672061600,1.93259649313643e-57,1.11253693105115e-308
1996-01-01,5174.3,7676.4,9.43844582753399e-154,1.67373336427402e-109,2.05276944276299e-289
1996-04-01,5229.5,7802.9,8.21073352631685e+58,1.37386422575198e-105,7.29117498457175e-304
1996-07-01,5254.3,7841.9,1.08100702951436e+103,8.25131133708867e-72,1.11265473317618e-308
1996-10-01,5291.9,7931.3,9.38293073473575e-154,8.30043873438524e-48,5.36971817250162e-293
1997-01-01,5350.7,8016.4,8.2107383153654e+58,2.55391443523258e-114,1.11253692925366e-308
1997-04-01,5375.7,8131.9,1.01156098992012e-153,2275508378442010,0
1997-07-01,5462.1,8216.6,3.25012012156027e+35,1.183176095896e-114,0
1997-10-01,5507.1,8272.9,9.38293073473909e-154,5.77236668317432e-101,0
1998-01-01,5576.3,8396.3,3.31974874279877e-115,9.89456581713187e+73,-9.08719167655337e-168
1998-04-01,5660.2,8442.9,2.12151926986829e+88,3.50910653642078e+64,-2.15299324264181e+59
1998-07-01,5713.7,8528.5,9.70796154365321e-115,6.865962300383e-72,1.11280854057032e-308
1998-10-01,5784.7,8667.9,5588224.6275733,6.76961731837553e+73,5.85897412679411e-127
1999-01-01,5854,8733.5,9.39611020739151e-154,8.25126878126749e-72,3.18076113381657e-124
1999-04-01,5936.1,8771.2,3.31975261539068e-115,4.49967685420165e-67,5.85897412679417e-127
1999-07-01,6000,8871.5,2.12151926986829e+88,6.76961731837553e+73,3.18076113381657e-124
1999-10-01,6083.6,9049.9,9.70796154365414e-115,5.40755150849146e-67,1.27849492359163e-152
2000-01-01,6171.7,9102.5,1.22994495143581e+83,2.94890822316959e-62,6.0907905420245e+247
2000-04-01,6226.3,9229.4,1.09529754457675e-56,6.76961731837553e+73,5.28555926461386e+180
2000-07-01,6292.1,9260.1,-2.96353900713651e+231,3.54389295660496e-62,3.16053311711971e+233
2000-10-01,6341.1,9303.9,9.39198317521971e-157,1.93259649313643e-57,1.11443869518355e-308
