DY6085,IY,LNNGD,LNS,LNSCH,LYL60,LYL85,N6085,SCHOOL,YL60,YL85,EQ01,EQ02,EQ03,EQ04
4.5,11.4,-2.70306265959117,-2.17155683058764,1.25276296849537,6.24804287450843,6.93828448401696,1.7,3.5,517,1031,1.1125369292536e-308,1.1125369292536e-308,1.32113760350484e-308,1.1125369292536e-308
8.9,19.9,-2.52572864430826,-1.61445045425764,1.97408102602201,8.03430693633949,9.50091824753999,3,7.2,3085,13372,0,0,1.11254753923256e-308,0
3.6,16.8,-2.60369018577797,-1.78379129957888,1.62924053973028,6.88550967003482,7.19967834569117,2.4,5.1,978,1339,0,0,1.11253692926164e-308,0
5.9,28.5,-2.55104645229255,-1.25526609871349,2.2512917986065,8.4767877767812,9.25435725739296,2.8,9.5,4802,10450,0,0,0,0
6.8,36,-2.78062089393705,-1.02165124753198,2.3887627892351,8.15851624480683,9.53914039514886,1.2,10.9,3493,13893,0,0,0,0
5.4,17.6,-2.56394985712845,-1.73727128394399,2.37954613413017,7.68845535654994,8.36915711258883,2.7,10.8,2183,4312,0,0,0,0
7.9,22.3,-2.56394985712845,-1.50058350752202,2.32238772029023,7.15851399732932,8.47114925291483,2.7,10.2,1285,4775,0,0,0,0
7.1,23.2,-2.50103603171788,-1.46101790731583,1.98787434815435,7.67508185771633,8.66354208775137,3.2,7.3,2154,5788,0,0,0,0
5.8,12.2,-2.52572864430826,-2.10373423424888,1.09861228866811,6.98193467715639,7.68478394352279,3,3,1077,2175,0,0,0,0
4.5,14.9,-2.52572864430826,-1.90380897303668,2.36085400111802,7.41938058291869,7.79564653633459,3,10.6,1668,2430,6.58887371451908e-83,2.51920354033766e-139,0,2.51920354033766e-139
9.2,32.2,-2.57702193869581,-1.13320373343773,2.19722457733622,7.93487156594518,9.60021795674263,2.6,9,2793,14768,0,0,0,0
3.7,14.8,-2.60369018577797,-1.91054300521802,2.11625551480255,7.49220304261874,7.81681996576455,2.4,8.3,1794,2482,0,0,0,0
6.7,15.9,-2.52572864430826,-1.83885107676191,2.17475172148416,7.77569574991525,8.70649036194662,3,8.8,2382,6042,0,0,1.11253692925657e-308,0
6.7,18,-2.5133061243097,-1.71479842809193,1.48160454092422,7.17625453201714,8.07713663853845,3.1,4.4,1308,3220,0,0,0,0
3.6,23.4,-2.91877123241786,-1.45243416362444,2.07944154167984,8.68929604801586,9.49754733157973,0.4,8,5939,13327,0,0,0,0
3.5,23.4,-2.90042209374967,-1.45243416362444,2.23001440015921,8.82305893430165,9.56731527092391,0.5,9.3,6789,14290,0,0,0,0
3.2,26.6,-2.88240358824699,-1.32425897020044,2.37024374146786,9.05380351415596,9.71057005652877,0.6,10.7,8551,16491,0,0,0,0
3.7,36.9,-2.86470401114759,-0.99695863494161,2.4423470353692,8.78370269863522,9.5309009729939,0.7,11.5,6527,13779,0,0,0,0
3.9,26.2,-2.81341071676004,-1.33941077522104,2.18605127673809,8.88391747120797,9.61760386202573,1,8.9,7215,15027,0,0,0,0
3.3,28.5,-2.90042209374967,-1.25526609871349,2.12823170584927,8.94832604627298,9.63541200972327,0.5,8.4,7695,15297,0,0,0,0
5.1,29.3,-2.86470401114759,-1.22758266996507,2.06686275947298,7.72179177681754,8.83462822201737,0.7,7.9,2257,6868,0,0,0,0
3.8,25.9,-2.79688141480883,-1.3509272172826,2.43361335540045,8.39185670010494,9.06820060481506,1.1,11.4,4411,8675,0,0,0,0
3.8,24.9,-2.88240358824699,-1.39030238251743,1.96009478404727,8.49964003216865,9.3130774494273,0.6,7.1,4913,11082,0,0,0,0
3.6,25.8,-2.74887219562247,-1.35479569406052,2.37024374146786,8.94754601503218,9.48622816454525,1.4,10.7,7689,13177,0,0,0,0
4.3,29.1,-2.86470401114759,-1.23443201181064,2.30258509299405,8.97941663334301,9.8895407464035,0.7,10,7938,19723,0,0,0,0
4.4,22.5,-2.88240358824699,-1.49165487677772,1.75785791755237,7.72841577984104,8.67025756714308,0.6,5.8,2272,5827,0,0,0,0
4.9,17.7,-2.81341071676004,-1.73160554640831,2.07944154167984,8.2337687092171,9.2005930205213,1,8,3766,9903,0,0,0,0
3.1,24.5,-2.91877123241786,-1.40649706843741,2.06686275947298,8.9621353900666,9.63148195946935,0.4,7.9,7802,15237,0,0,0,0
2.5,29.7,-2.84731226843572,-1.21402314017944,1.56861591791385,9.24067557177226,9.67287870511065,0.8,4.8,10308,15881,1.11254541723676e-308,0,0,0
5.2,20.2,-2.59026716544583,-1.59948758158093,1.70474809223843,7.72929567431048,8.39931015075952,2.5,5.5,2274,4444,0,0,0,0
2.5,18.4,-2.93746336543002,-1.69281952137315,2.18605127673809,8.94036723330517,9.49784742911368,0.3,8.9,7634,13331,0,0,1.6688053938804e-308,0
4.2,23.3,-2.65926003693278,-1.45671682541644,2.36085400111802,9.23853902633486,9.79450938996638,2,10.6,10286,17935,0,0,0,0
4.7,14.7,-2.46510402249182,-1.9173226922034,1.94591014905531,8.11969625295725,8.41005331585834,3.5,7,3360,4492,0,0,0,0
5.1,17.1,-2.53830742651512,-1.76609172247948,1.75785791755237,7.56992765524265,8.10409905614358,2.9,5.8,1939,3308,0,0,0,0
3.3,8,-2.48891467118554,-2.52572864430826,1.3609765531356,7.62168499872461,7.59940133341582,3.3,3.9,2042,1997,0,0,0,0
3.9,8.8,-2.5133061243097,-2.43041846450393,0.8754687373539,7.8164169836918,8.01763715990848,3.1,2.4,2481,3034,0,0,0,0
1.8,7.1,-2.7646205525906,-2.64507540194082,0.641853886172395,6.99942246750796,7.12044437239249,1.3,1.9,1096,1237,0,0,0,0
4,13.8,-2.5133061243097,-1.98050159382493,1.30833281965018,7.26542972325395,7.5076900778199,3.1,3.7,1430,1822,0,0,0,0
2.1,20.6,-2.71810053695571,-1.57987911019256,2.41591377830105,7.91059061225648,8.03268487596762,1.6,11.2,2726,3080,0,0,0,0
5.5,19.5,-2.48891467118554,-1.63475572041839,1.88706964903238,8.34972083747249,8.90652891759452,3.3,6.6,4229,7380,0,0,0,0
4.1,14.5,-2.48891467118554,-1.93102153656156,1.75785791755237,8.06934236681164,8.28853445941392,3.3,5.8,3195,3978,0,0,0,0
5.9,26.1,-2.52572864430826,-1.34323487165944,2.45100509811232,7.79276172081653,8.52138439603471,3,11.6,2423,5021,0,0,0,0
2.7,20.4,-2.67364877438488,-1.58963528513792,2.17475172148416,9.13270310224903,9.33122968925164,1.9,8.8,9253,11285,0,0,0,0
3.2,21.1,-2.7333680090865,-1.55589714550607,2.47653840011748,9.42238253021922,9.85156247967121,1.5,11.9,12362,18988,0,0,0,0
2.1,25.3,-2.7333680090865,-1.37436579025462,1.6094379124341,8.48714627006394,8.61848544289811,1.5,5,4852,5533,0,0,0,0
3.3,13.3,-2.60369018577797,-2.01740615076038,1.58923520511658,7.38894609761844,7.62803112693034,2.4,4.9,1618,2055,0,0,0,0
7.3,23.2,-2.53830742651512,-1.46101790731583,1.54756250871601,7.51860721681525,8.62389281007529,2.9,4.7,1842,5563,0,0,0,0
2.6,29.7,-2.61729583783375,-1.21402314017944,2.04122032885964,8.55429627936774,8.61848544289811,2.3,7.7,5189,5533,0,0,0,0
5,18,-2.52572864430826,-1.71479842809193,1.80828877117927,7.89058253465654,8.39049553837028,3,6.1,2672,4405,0,0,0,0
5.7,24.4,-2.55104645229255,-1.41058705368894,1.97408102602201,7.69530313496357,8.41272116981953,2.8,7.2,2198,4504,1.11253692928598e-308,0,0,1.11253692928598e-308
5.5,11.7,-2.56394985712845,-2.14558134418438,1.48160454092422,7.57609734062311,8.27231514795602,2.7,4.4,1951,3914,1.11446410578183e-308,0,0,1.11446411873346e-308
3.5,12,-2.53830742651512,-2.12026353620009,2.07944154167984,8.10470346837111,8.23615566168312,2.9,8,3310,3775,0,0,0,0
0.9,11.8,-2.88240358824699,-2.13707065451647,1.94591014905531,8.54071438645758,8.61159386683772,0.6,7,5119,5495,0,0,0,0
1.9,11.4,-2.43041846450393,-2.17155683058764,1.94591014905531,9.24638296332311,8.75400293349426,3.8,7,10367,6336,0,0,0,0
3.8,31.5,-2.65926003693278,-1.1551826401565,2.28238238567653,9.04073758759,9.50368140227964,2,9.8,8440,13409,1.68048485871387e-308,0,1.68048485871387e-308,1.68048485871387e-308
5.5,13.9,-2.67364877438488,-1.97328134585145,1.41098697371026,6.77878489768518,7.67740043051481,1.9,4.1,879,2159,0,0,0,0
2.7,22.5,-2.70306265959117,-1.49165487677772,2.47653840011748,9.16146520419405,9.41800473644193,1.7,11.9,9523,12308,0,0,0,0
